roi,direction,t_statistic,p_value,p_value_fdr,significant
lh_Ca,outgoing,1.5408644027106941,0.13185972563810355,0.9976358686618683,False
lh_GPe,outgoing,-1.2660536595293335,0.2134074576322078,0.9976358686618683,False
lh_GPi,outgoing,0.002983089374419297,0.9976358686618683,0.9976358686618683,False
lh_Pu,outgoing,-0.45206355367523327,0.6538623938792995,0.9976358686618683,False
lh_STH,outgoing,0.7027984536650334,0.48657997401200925,0.9976358686618683,False
lh_cerebellum_dentate,outgoing,-0.14263905263841967,0.8873491926985445,0.9976358686618683,False
lh_cerebellum_motor,outgoing,0.1516604089482028,0.880278714432134,0.9976358686618683,False
lh_paracentral_smooth3mm,outgoing,-0.44587698371652584,0.6582844379885608,0.9976358686618683,False
lh_postcentral_smooth3mm,outgoing,0.8421768735522897,0.40509988034442346,0.9976358686618683,False
lh_precentral_smooth3mm,outgoing,0.6026554256436383,0.5504140678373228,0.9976358686618683,False
lh_superiorfrontal_smooth3mm,outgoing,-0.042510717645196636,0.966320153040236,0.9976358686618683,False
lh_vim,outgoing,-0.7049622079257345,0.4852481269337286,0.9976358686618683,False
lh_zi,outgoing,0.5518535712454963,0.5843667121953684,0.9976358686618683,False
rh_Ca,outgoing,1.2799940234460976,0.20851467302269983,0.9976358686618683,False
rh_GPe,outgoing,0.3141601375468371,0.7551640029482848,0.9976358686618683,False
rh_GPi,outgoing,0.10368930782761361,0.9179759179400468,0.9976358686618683,False
rh_Pu,outgoing,0.23845631250881022,0.8128429597250745,0.9976358686618683,False
rh_STH,outgoing,-0.7162567330602126,0.4783295154326101,0.9976358686618683,False
rh_cerebellum_dentate,outgoing,-0.9157673949170942,0.36571915356531715,0.9976358686618683,False
rh_cerebellum_motor,outgoing,-0.030510509990781746,0.9758238986860458,0.9976358686618683,False
rh_paracentral_smooth3mm,outgoing,-0.5022239228250792,0.6184859664829822,0.9976358686618683,False
rh_postcentral_smooth3mm,outgoing,0.16314404381113176,0.8712928572772747,0.9976358686618683,False
rh_precentral_smooth3mm,outgoing,-0.4498477309188212,0.6554447795864312,0.9976358686618683,False
rh_superiorfrontal_smooth3mm,outgoing,-0.1745087754039453,0.862417030499471,0.9976358686618683,False
lh_Ca,incoming,-1.1891761359296595,0.24194624737039208,0.9677849894815683,False
lh_GPe,incoming,1.638706670149411,0.10975149509950162,0.6585089705970097,False
lh_GPi,incoming,-2.393502567460919,0.021874133508505457,0.2624896021020655,False
lh_Pu,incoming,-0.2833160653891644,0.7785137823782634,0.9870112883898946,False
lh_STH,incoming,-0.5755838637689994,0.5683808866545722,0.9870112883898946,False
lh_cerebellum_dentate,incoming,-0.5503422000802645,0.5853921790004736,0.9870112883898946,False
lh_cerebellum_motor,incoming,-0.6652958917282646,0.5099874482346854,0.9870112883898946,False
lh_paracentral_smooth3mm,incoming,-0.016390041281308717,0.9870112883898946,0.9870112883898946,False
lh_postcentral_smooth3mm,incoming,0.4297480752513337,0.6698714063523699,0.9870112883898946,False
lh_precentral_smooth3mm,incoming,1.5048799287126586,0.14084452893491853,0.6760537388876089,False
lh_superiorfrontal_smooth3mm,incoming,-1.0719711718173135,0.290675471642908,0.9870112883898946,False
lh_vim,incoming,0.05828541928417821,0.9538349357604338,0.9870112883898946,False
lh_zi,incoming,0.5518535712454963,0.5843667121953684,0.9870112883898946,False
rh_Ca,incoming,1.8537598500568346,0.07175938352321652,0.5740750681857322,False
rh_GPe,incoming,0.27240185997047023,0.7868275128777891,0.9870112883898946,False
rh_GPi,incoming,0.030281400552258093,0.9760053846034538,0.9870112883898946,False
rh_Pu,incoming,-2.4841945789057815,0.017636799501582274,0.2624896021020655,False
rh_STH,incoming,-0.6651298750479278,0.5100924161918314,0.9870112883898946,False
rh_cerebellum_dentate,incoming,0.26095506604490815,0.7955741783147744,0.9870112883898946,False
rh_cerebellum_motor,incoming,0.45082562062151593,0.6547462400395911,0.9870112883898946,False
rh_paracentral_smooth3mm,incoming,-0.19910363019307253,0.8432717988652544,0.9870112883898946,False
rh_postcentral_smooth3mm,incoming,-0.5583765340715571,0.579950886116115,0.9870112883898946,False
rh_precentral_smooth3mm,incoming,-0.13439018274337688,0.8938224291041745,0.9870112883898946,False
rh_superiorfrontal_smooth3mm,incoming,-0.13097655757689558,0.896503426416498,0.9870112883898946,False
